state,2016Q3_gdp,2016Q3_per_capita,2016/12_ur
AL,206360,191842988,6.6
AK,51541,41128688,6.3
AZ,303007,279134300,3.9
AR,123100,118438441,5
CA,2589628,2208600196,5.2
CO,325447,289503535,3
CT,261041,256648906,4.4
DE,71882,46516904,5.7
DC,128063,51882666,4.3
FL,933806,948188439,4.9
GA,528111,432166054,5.5
HI,84065,72529167,2.9
ID,68158,66157263,3.5
IL,805876,673528303,3.6
IN,348046,290252946,5.7
IA,174980,147349191,4
KS,153498,141793196,4.3
KY,196700,175949609,4.8
LA,239267,204577422,6
ME,59925,59498854,3.1
MD,376010,351273102,4.2
MA,505121,445450652,3.8
MI,488864,443437792,5.1
MN,330142,288903088,4
MS,110100,107743066,4.4
MO,306883,268379357,5.5
MT,46301,44189321,4
NE,116146,94769415,5.2
NV,146755,127645647,3
NH,78017,78207740,3.3
NJ,591600,559001021,2.7
NM,92867,80868664,4.7
NY,1494116,1208212638,6.7
NC,518611,428545567,5.1
ND,51507,42099512,4.8
OH,630030,525102309,5
OK,181381,178899688,4.8
OR,231508,186413218,4.5
PA,723753,658502683,5.4
RI,57815,54557361,4.9
SC,211298,197017828,4.3
SD,47722,41817902,2.9
TN,330072,288929993,5.1
TX,1654064,1335555092,4.8
UT,156791,124733325,3.2
VT,31370,31411472,4.1
VA,496062,454654403,3.2
WA,474732,391948283,5.1
WV,73473,68379631,4.1
WI,312110,274426106,5.8
WY,37641,32404694,4.8